,Total no.,Doc no.,Dept.,Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,
,51,46,Computer Engineering,Dagher I.; El Tom K.,"Dagher, Issam (6603784732); El Tom, Kamal (24801892300)",6603784732; 24801892300,WaterBalloons: A hybrid watershed balloon snake segmentation,2007,IEEE International Conference on Neural Networks - Conference Proceedings,,,4370921,1,6,5,2,10.1109/IJCNN.2007.4370921,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749097129&doi=10.1109%2fIJCNN.2007.4370921&partnerID=40&md5=c01b1e020731ba10aecc87f5996f7bc4,Conference paper,Final,,Scopus,2-s2.0-51749097129,
,52,47,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Fuzzy clustering with optimized-parameters multiple Gaussian Kernels,2015,IEEE International Conference on Fuzzy Systems,2015-November,,7337804,,,,3,10.1109/FUZZ-IEEE.2015.7337804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975760939&doi=10.1109%2fFUZZ-IEEE.2015.7337804&partnerID=40&md5=6f24b54269e645c658c7b93366ea51df,Conference paper,Final,,Scopus,2-s2.0-84975760939,
,53,48,Computer Engineering,Dagher I.,"Dagher, Issam (6603784732)",6603784732,Clustering with complex centers,2012,Neural Computing and Applications,21,1,,133,144,11,2,10.1007/s00521-011-0616-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856014438&doi=10.1007%2fs00521-011-0616-4&partnerID=40&md5=f17b632d23a7b4fe83ca64cfb5518b22,Article,Final,,Scopus,2-s2.0-84856014438,
R. Ayoubi ,54,1,Computer Engineering,Mansour W.; Velazco R.; El Falou W.; Ziade H.; Ayoubi R.,"Mansour, Wassim (52063560800); Velazco, Raoul (7003492172); El Falou, Wassim (6505795708); Ziade, Haissam (56064126100); Ayoubi, Rafic (6505834540)",52063560800; 7003492172; 6505795708; 56064126100; 6505834540,SEU simulation by fault injection in PSoC device: Preliminary results,2012,"2012 2nd International Conference on Advances in Computational Tools for Engineering Applications, ACTEA 2012",,,6462894,330,333,3,7,10.1109/ICTEA.2012.6462894,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874706706&doi=10.1109%2fICTEA.2012.6462894&partnerID=40&md5=864f29b5ea75b61db4cd0be193cff4ba,Conference paper,Final,,Scopus,2-s2.0-84874706706,
,55,2,Computer Engineering,Ayoubi R.; Istambouli S.; Abbas A.-W.; Akkad G.,"Ayoubi, Rafic (6505834540); Istambouli, Samer (57211291031); Abbas, Abdel-Wahed (14044704400); Akkad, Ghattas (57194069549)",6505834540; 57211291031; 14044704400; 57194069549,Hardware Architecture for A Shift-Based Parallel Odd-Even Transposition Sorting Network,2019,"2019 4th International Conference on Advances in Computational Tools for Engineering Applications, ACTEA 2019",,,8851099,,,,4,10.1109/ACTEA.2019.8851099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073358579&doi=10.1109%2fACTEA.2019.8851099&partnerID=40&md5=29da61a670bc3dcbe611bca9b85f4eac,Conference paper,Final,,Scopus,2-s2.0-85073358579,
,56,3,Computer Engineering,Ayoubi R.A.; Malluhi Q.M.; Bayoumi M.A.,"Ayoubi, R.A. (6505834540); Malluhi, Q.M. (35616323300); Bayoumi, M.A. (7102207253)",6505834540; 35616323300; 7102207253,The extended cube connected cycles: An efficient interconnection for massively parallel systems,1996,IEEE Transactions on Computers,45,5,,609,614,5,4,10.1109/12.509913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0342853682&doi=10.1109%2f12.509913&partnerID=40&md5=a4ebb75b0ded233a7de136a89ee2a7fc,Article,Final,,Scopus,2-s2.0-0342853682,
,57,4,Computer Engineering,Mansour W.; Velazco R.; Ayoubi R.; El Falou W.; Ziade H.,"Mansour, Wassim (52063560800); Velazco, Raoul (7003492172); Ayoubi, Rafic (6505834540); El Falou, Wassim (6505795708); Ziade, Haissam (56064126100)",52063560800; 7003492172; 6505834540; 6505795708; 56064126100,Fault-tolerance capabilities of a software-implemented Hopfield Neural Network,2013,"2013 3rd International Conference on Communications and Information Technology, ICCIT 2013",,,6579550,205,208,3,0,10.1109/ICCITechnology.2013.6579550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883878156&doi=10.1109%2fICCITechnology.2013.6579550&partnerID=40&md5=b291b864bc6af0409cc5363bac4d40b7,Conference paper,Final,,Scopus,2-s2.0-84883878156,
,58,5,Computer Engineering,Ayoubi R.A.; Ziade H.A.; Bayoumi M.A.,"Ayoubi, R.A. (6505834540); Ziade, H.A. (6507866586); Bayoumi, M.A. (7102207253)",6505834540; 6507866586; 7102207253,Hopfield associative memory on mesh,2004,Proceedings - IEEE International Symposium on Circuits and Systems,5,,,V,800,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344562853&partnerID=40&md5=a74b24ea7e35e05d83fa7059e393e8f0,Conference paper,Final,,Scopus,2-s2.0-4344562853,
,59,6,Computer Engineering,Akkad G.; Elhassan M.; Ayoubi R.,"Akkad, Ghattas (57194069549); Elhassan, Moustapha (22034474100); Ayoubi, Rafic (6505834540)",57194069549; 22034474100; 6505834540,"FPGA hardware architecture for stereoscopic image compression based on block matching, watermarking and hamming code",2017,"IPAS 2016 - 2nd International Image Processing, Applications and Systems Conference",,,7880065,,,,3,10.1109/IPAS.2016.7880065,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018545840&doi=10.1109%2fIPAS.2016.7880065&partnerID=40&md5=1eff8ef03c1d71267b7ef4e1dfd6e27b,Conference paper,Final,,Scopus,2-s2.0-85018545840,
,60,7,Computer Engineering,Ayoubi R.A.; Bayoumi M.A.,"Ayoubi, R.A. (6505834540); Bayoumi, M.A. (7102207253)",6505834540; 7102207253,Bitonic sort on the connection machine,1994,Parallel Algorithms and Applications,3,2-Jan,,151,161,10,1,10.1080/10637199408962533,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944056517&doi=10.1080%2f10637199408962533&partnerID=40&md5=2b6358bd40f1f4d46089467be691ad5c,Article,Final,,Scopus,2-s2.0-84944056517,
,61,8,Computer Engineering,Nicolas E.; Ayoubi R.; Berjaoui S.,"Nicolas, Elie (59181223100); Ayoubi, Rafic (6505834540); Berjaoui, Samir (57188804755)",59181223100; 6505834540; 57188804755,Chebyshev approximation technique: analysis and applications,2024,Journal of Supercomputing,80,15,,22155,22189,34,2,10.1007/s11227-024-06196-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196527762&doi=10.1007%2fs11227-024-06196-5&partnerID=40&md5=99282f81c9bb5372e97eeca0c37a5605,Article,Final,,Scopus,2-s2.0-85196527762,
,62,9,Computer Engineering,Hassan M.E.; Najjar M.; Tohme R.; Daba J.; Ayoubi R.,"Hassan, Moustapha El (22034474100); Najjar, Maged (23397943100); Tohme, Ramez (57849126900); Daba, Jihad (6508177468); Ayoubi, Rafic (6505834540)",22034474100; 23397943100; 57849126900; 6508177468; 6505834540,Implementation and Testing of a Practical Product to Balance Single-Phase Loads in a Three-Phase System at the Distribution and Unit Levels,2023,Renewable Energy and Power Quality Journal,21,,,357,362,5,1,10.24084/repqj21.323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163628769&doi=10.24084%2frepqj21.323&partnerID=40&md5=03e7cd986a90abe32136b94a5d0d608c,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85163628769,
,63,10,Computer Engineering,Akkad G.; Ayoubi R.; Abche A.,"Akkad, Ghattas (57194069549); Ayoubi, Rafic (6505834540); Abche, Antoine (12790838700)",57194069549; 6505834540; 12790838700,Constant Time Hardware Architecture for a Gaussian Smoothing Filter,2018,"2018 International Conference on Signal Processing and Information Security, ICSPIS 2018",,,8642751,,,,5,10.1109/CSPIS.2018.8642751,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063528154&doi=10.1109%2fCSPIS.2018.8642751&partnerID=40&md5=5d62dddf8bf931629063da3c8a348f3d,Conference paper,Final,,Scopus,2-s2.0-85063528154,
,64,11,Computer Engineering,Ayoubi R.; Daba J.; Berjaoui S.,"Ayoubi, Rafic (6505834540); Daba, Jihad (6508177468); Berjaoui, Samir (57188804755)",6505834540; 6508177468; 57188804755,FPGA realization of MRC with optimized exponent for adaptive array antennas,2019,"Proceedings - 21st IEEE International Conference on High Performance Computing and Communications, 17th IEEE International Conference on Smart City and 5th IEEE International Conference on Data Science and Systems, HPCC/SmartCity/DSS 2019",,,8855466,281,288,7,2,10.1109/HPCC/SmartCity/DSS.2019.0-330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073512013&doi=10.1109%2fHPCC%2fSmartCity%2fDSS.2019.0-330&partnerID=40&md5=559e029308fd1b59cd225e4cbb9c9b00,Conference paper,Final,,Scopus,2-s2.0-85073512013,
,65,12,Computer Engineering,Akkad G.; Mansour A.; Elhassan B.A.; Inaty E.; Ayoubi R.; Srar J.A.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); Elhassan, Bachar A. (6603225120); Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540); Srar, Jalal A. (21743435800)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540; 21743435800,A Pipelined Reduced Complexity Two-Stages Parallel LMS Structure for Adaptive Beamforming,2020,IEEE Transactions on Circuits and Systems I: Regular Papers,67,12,9099039,5079,5091,12,21,10.1109/TCSI.2020.2994812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097349410&doi=10.1109%2fTCSI.2020.2994812&partnerID=40&md5=f4f66dac266747881aa099efde0be5aa,Article,Final,,Scopus,2-s2.0-85097349410,
,66,13,Computer Engineering,Ayoubi R.A.; Bayoumi M.A.,"Ayoubi, R.A. (6505834540); Bayoumi, M.A. (7102207253)",6505834540; 7102207253,An efficient implementation of multi-layer perceptron on mesh architecture,2002,Proceedings - IEEE International Symposium on Circuits and Systems,2,,,109,112,3,3,10.1109/ISCAS.2002.1010936,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036290721&doi=10.1109%2fISCAS.2002.1010936&partnerID=40&md5=c8a3794fd2a638911894a2b7a34adb8d,Article,Final,,Scopus,2-s2.0-0036290721,
,67,14,Computer Engineering,Akl C.J.; Ayoubi R.A.; Bayoumi M.A.,"Akl, Charbel J. (19640057000); Ayoubi, Rafic A. (6505834540); Bayoumi, Magdy A. (7102207253)",19640057000; 6505834540; 7102207253,An effective staggered-phase damping technique for suppressing power-gating resonance noise during mode transition,2009,"Proceedings of the 10th International Symposium on Quality Electronic Design, ISQED 2009",,,4810280,116,119,3,19,10.1109/ISQED.2009.4810280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649643274&doi=10.1109%2fISQED.2009.4810280&partnerID=40&md5=68ef897c08b593df8e2757d8a3642d67,Conference paper,Final,,Scopus,2-s2.0-67649643274,
,68,15,Computer Engineering,Akl C.J.; Ayoubi R.A.; Bayoumi M.A.,"Akl, Charbel J. (19640057000); Ayoubi, Rafic A. (6505834540); Bayoumi, Magdy A. (7102207253)",19640057000; 6505834540; 7102207253,Post-silicon clock-invert (PSCI) for reducing process-variation induced skew in buffered clock networks,2009,"Proceedings of the 10th International Symposium on Quality Electronic Design, ISQED 2009",,,4810394,794,798,4,1,10.1109/ISQED.2009.4810394,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649654469&doi=10.1109%2fISQED.2009.4810394&partnerID=40&md5=41d3092b2e363fb72642cbed5492b853,Conference paper,Final,,Scopus,2-s2.0-67649654469,
,69,16,Computer Engineering,Ayoubi R.A.; Ziade H.A.; Bayoumi M.A.,"Ayoubi, R.A. (6505834540); Ziade, H.A. (6507866586); Bayoumi, M.A. (7102207253)",6505834540; 6507866586; 7102207253,Fault tolerant Hopfield associative memory on torus,2003,Proceedings - IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems,2003-January,,1250133,369,376,7,2,10.1109/TSM.2005.1250133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971280936&doi=10.1109%2fTSM.2005.1250133&partnerID=40&md5=d624920ee1df0aeadc6a9c1e2455347a,Conference paper,Final,,Scopus,2-s2.0-84971280936,
,70,17,Computer Engineering,Alhalabi Bassem A.; Malluhi Qutaibah; Ayoubi Rafic,"Alhalabi, Bassem A. (6602362656); Malluhi, Qutaibah (35616323300); Ayoubi, Rafic (6505834540)",6602362656; 35616323300; 6505834540,Non-refreshing analog neural storage tailored for on-chip learning,1998,Proceedings of the IEEE Great Lakes Symposium on VLSI,,,,168,171,3,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031676816&partnerID=40&md5=ac95f4a7c9b4b5c10d65d52c0ca0d857,Conference paper,Final,,Scopus,2-s2.0-0031676816,
,71,18,Computer Engineering,Akkad G.; Elhassan M.; Ayoubi R.,"Akkad, Ghattas (57194069549); Elhassan, Moustapha (22034474100); Ayoubi, Rafic (6505834540)",57194069549; 22034474100; 6505834540,Hardware and software implementation of a stereoscopic image compression technique for internet connected devices,2017,"2017 International Symposium on Networks, Computers and Communications, ISNCC 2017",,,8071983,,,,1,10.1109/ISNCC.2017.8071983,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039950114&doi=10.1109%2fISNCC.2017.8071983&partnerID=40&md5=927282b0a56e893eb587282fd3156d9d,Conference paper,Final,,Scopus,2-s2.0-85039950114,
,72,19,Computer Engineering,Mansour W.; Ramos P.; Ayoubi R.; Velazco R.,"Mansour, Wassim (52063560800); Ramos, Pablo (56286347800); Ayoubi, Rafic (6505834540); Velazco, Raoul (7003492172)",52063560800; 56286347800; 6505834540; 7003492172,"SEU fault-injection at system level: Method, tools and preliminary results",2014,LATW 2014 - 15th IEEE Latin-American Test Workshop,,,6841907,,,,1,10.1109/LATW.2014.6841907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904549059&doi=10.1109%2fLATW.2014.6841907&partnerID=40&md5=75be9c44ecad86a9a6ee623ee0fc1867,Conference paper,Final,,Scopus,2-s2.0-84904549059,
,73,20,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.; Ayoubi R.,"Akkad, Ghattas (57194069549); Mansour, Ali (7202587376); ElHassan, Bachar (6603225120); Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540,A Self Referencing Technique for the RC-pLMS Adaptive Beamformer and Its Hardware Implementation,2022,Lecture Notes in Electrical Engineering,866 LNEE,,,76,85,9,0,10.1007/978-3-030-95498-7_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128706945&doi=10.1007%2f978-3-030-95498-7_11&partnerID=40&md5=6fd104cf70a8ae7c57ef197553002640,Conference paper,Final,,Scopus,2-s2.0-85128706945,
,74,21,Computer Engineering,Ayoubi R.A.; Bayoumi M.A.,"Ayoubi, Rafic A. (6505834540); Bayoumi, Magdy A. (7102207253)",6505834540; 7102207253,Efficient mapping algorithm of multilayer neural network on torus architecture,2003,IEEE Transactions on Parallel and Distributed Systems,14,9,,932,943,11,6,10.1109/TPDS.2003.1233715,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142103240&doi=10.1109%2fTPDS.2003.1233715&partnerID=40&md5=4e43d2f2167f4b69b1ee7de934a17388,Article,Final,,Scopus,2-s2.0-0142103240,
,75,22,Computer Engineering,Ayoubi R.; Dubois J.P.; Abdul-Latif O.,"Ayoubi, R. (6505834540); Dubois, J.P. (6508177468); Abdul-Latif, O. (24779564100)",6505834540; 6508177468; 24779564100,FPGA implementation of a novel receiver diversity combining technique for wireless SIMO systems,2007,ICSPC 2007 Proceedings - 2007 IEEE International Conference on Signal Processing and Communications,,,4728249,37,40,3,3,10.1109/ICSPC.2007.4728249,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349122519&doi=10.1109%2fICSPC.2007.4728249&partnerID=40&md5=1cb4ccb684ec56a9bd8a2ec28001fec6,Conference paper,Final,,Scopus,2-s2.0-60349122519,
,76,23,Computer Engineering,Mansour W.; Velazco R.; Ayoubi R.; Ziade H.; El Falou W.,"Mansour, Wassim (52063560800); Velazco, Raoul (7003492172); Ayoubi, Rafic (6505834540); Ziade, Haissam (56064126100); El Falou, Wassim (6505795708)",52063560800; 7003492172; 6505834540; 56064126100; 6505795708,A method and an automated tool to perform SET fault-injection on HDL-based designs,2013,"2013 25th International Conference on Microelectronics, ICM 2013",,,6734986,,,,13,10.1109/ICM.2013.6734986,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896767758&doi=10.1109%2fICM.2013.6734986&partnerID=40&md5=e4f5095a3a3a9cfcf3d7044f1706a950,Conference paper,Final,,Scopus,2-s2.0-84896767758,
,77,24,Computer Engineering,Clemente J.A.; Mansour W.; Ayoubi R.; Serrano F.; Mecha H.; Ziade H.; El Falou W.; Velazco R.,"Clemente, Juan Antonio (25228491800); Mansour, Wassim (52063560800); Ayoubi, Rafic (6505834540); Serrano, Felipe (56625658700); Mecha, Hortensia (6603109409); Ziade, Haissam (56064126100); El Falou, Wassim (6505795708); Velazco, Raoul (7003492172)",25228491800; 52063560800; 6505834540; 56625658700; 6603109409; 56064126100; 6505795708; 7003492172,Hardware implementation of a fault-tolerant Hopfield Neural Network on FPGAs,2016,Neurocomputing,171,,,1606,1609,3,26,10.1016/j.neucom.2015.06.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944512347&doi=10.1016%2fj.neucom.2015.06.038&partnerID=40&md5=7e559b01769cd8d61da8fef1540f5d40,Article,Final,,Scopus,2-s2.0-84944512347,
,78,25,Computer Engineering,Abche A.B.; Maalouf A.; Ayoubi R.; Karam E.; Alameddine A.M.,"Abche, Antoine B. (12790838700); Maalouf, Aldo (23035617900); Ayoubi, Rqfic (6505834540); Karam, Elie (57193540175); Alameddine, A.M. (26029278000)",12790838700; 23035617900; 6505834540; 57193540175; 26029278000,An FPGA implementation of a high resolution phase shift beamformer,2007,ICSPC 2007 Proceedings - 2007 IEEE International Conference on Signal Processing and Communications,,,4728570,1319,1322,3,6,10.1109/ICSPC.2007.4728570,https://www.scopus.com/inward/record.uri?eid=2-s2.0-60349101519&doi=10.1109%2fICSPC.2007.4728570&partnerID=40&md5=c89d3ac75a2cb8065aa3946374cc8c9b,Conference paper,Final,,Scopus,2-s2.0-60349101519,
,79,26,Computer Engineering,Inaty E.; Ayoubi R.,"Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",35581329200; 6505834540,OV-CDMA system: Concept and implementation,2008,Eurasip Journal on Wireless Communications and Networking,2008,,460628,,,,0,10.1155/2008/460628,https://www.scopus.com/inward/record.uri?eid=2-s2.0-43949135775&doi=10.1155%2f2008%2f460628&partnerID=40&md5=77fd59e39dfc5a55f5362a62274db57e,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-43949135775,
,80,27,Computer Engineering,Ayoubi R.; Bayoumi M.; Ayoubi R.,"Ayoubi, Randa (54787364400); Bayoumi, Magdy (7102207253); Ayoubi, Rafic (6505834540)",54787364400; 7102207253; 6505834540,Real-time Parallelized Hybrid Median Filter for speckle removal in ultrasound images,2014,"2014 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2014",,,7032079,65,68,3,3,10.1109/GlobalSIP.2014.7032079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949926451&doi=10.1109%2fGlobalSIP.2014.7032079&partnerID=40&md5=36ff07682b0251a23e10b3864f0a0482,Conference paper,Final,,Scopus,2-s2.0-84949926451,
,81,28,Computer Engineering,Inaty E.; Ayoubi R.,"Inaty, Elie (35581329200); Ayoubi, Rafic (6505834540)",35581329200; 6505834540,FPGA-based transmitter-receiver architecture of an overlapped FFH-CDMA system: Design and simulation,2006,Proceedings - IEEE International Symposium on Circuits and Systems,,,1693205,2797,2800,3,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547281931&partnerID=40&md5=6f8ac3d1fa7c703da21ba66abf1d8ece,Conference paper,Final,,Scopus,2-s2.0-34547281931,
,82,29,Computer Engineering,Ayoubi R.; Daba J.,"Ayoubi, Rafic (6505834540); Daba, Jihad (6508177468)",6505834540; 6508177468,FPGA Design of Spatially Modulated Single-Input-Multiple-Output Signals in 5G Diversity Receivers,2019,"2019 IEEE International Conference on Communication, Networks and Satellite, Comnetsat 2019 - Proceedings",,,8844099,24,29,5,5,10.1109/COMNETSAT.2019.8844099,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073475032&doi=10.1109%2fCOMNETSAT.2019.8844099&partnerID=40&md5=fba5c2b7844260d88a541ebd4d94d7fd,Conference paper,Final,,Scopus,2-s2.0-85073475032,
,83,30,Computer Engineering,Akkad G.; Mansour A.; ElHassan B.; Inaty E.; Ayoubi R.,"Akkad, G. (57194069549); Mansour, A. (7202587376); ElHassan, B. (6603225120); Inaty, E. (35581329200); Ayoubi, R. (6505834540)",57194069549; 7202587376; 6603225120; 35581329200; 6505834540,Two stages parallel LMS structure: A pipelined hardware architecture,2021,European Signal Processing Conference,2021-January,,9287770,2363,2367,4,1,10.23919/Eusipco47968.2020.9287770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099319678&doi=10.23919%2fEusipco47968.2020.9287770&partnerID=40&md5=3701af53bf60e8ab3b0e4cb0cd56cb3c,Conference paper,Final,,Scopus,2-s2.0-85099319678,
,84,31,Computer Engineering,Akkad G.; Ayoubi R.; Mansour A.; ElHassan B.,"Akkad, Ghattas (57194069549); Ayoubi, Rafic (6505834540); Mansour, Ali (7202587376); ElHassan, Bachar (6603225120)",57194069549; 6505834540; 7202587376; 6603225120,Hardware Architecture for a Bit-Serial Odd-Even Transposition Sort Network with On-The-Fly Compare and Swap,2020,Lecture Notes in Electrical Engineering,627,,,145,154,9,1,10.1007/978-3-030-37277-4_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083344386&doi=10.1007%2f978-3-030-37277-4_17&partnerID=40&md5=65440e0a4c108e24eef84f2cc593795b,Conference paper,Final,,Scopus,2-s2.0-85083344386,
,85,32,Computer Engineering,Al Najjar M.; Ayoubi R.; Chendeb S.; Ziade H.,"Al Najjar, Mayssaa (22833449100); Ayoubi, Rafic (6505834540); Chendeb, Safwan (36559023000); Ziade, Haissam (6507866586)",22833449100; 6505834540; 36559023000; 6507866586,A special purpose co-processor prototype for virtual surgery simulators,2007,"Proceedings - 4th International Conference Medical Information Visualisation: BioMedical Visualisation, MediViz 2007",,,4272111,54,59,5,0,10.1109/MEDIVIS.2007.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35348890816&doi=10.1109%2fMEDIVIS.2007.3&partnerID=40&md5=f2671bdae36e8c59567f775bf4b6b421,Conference paper,Final,,Scopus,2-s2.0-35348890816,
,86,33,Computer Engineering,Ayoubi R.; Elchouemi A.; Bayoumi M.,"Ayoubi, R. (6505834540); Elchouemi, A. (6506069522); Bayoumi, M. (7102207253)",6505834540; 6506069522; 7102207253,Efficient mapping algorithm of multilayer perceptron on mesh-connected architectures,1996,Conference Proceedings - International Phoenix Conference on Computers and Communications,,,,188,193,5,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029724668&partnerID=40&md5=68cc7cc0e28b69a0e302b5fbca5c361d,Conference paper,Final,,Scopus,2-s2.0-0029724668,
,87,34,Computer Engineering,Merhi Z.; Elgamel M.; Ayoubi R.; Bayoumi M.,"Merhi, Zaher (56607975200); Elgamel, Mohamed (35619321600); Ayoubi, Rafic (6505834540); Bayoumi, Magdy (7102207253)",56607975200; 35619321600; 6505834540; 7102207253,TALS: Trigonometry-based Ad-hoc Localization System for wireless sensor networks,2011,IWCMC 2011 - 7th International Wireless Communications and Mobile Computing Conference,,,5982507,59,64,5,3,10.1109/IWCMC.2011.5982507,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052456148&doi=10.1109%2fIWCMC.2011.5982507&partnerID=40&md5=83f503fd2d9fb43e6e033f91067fa547,Conference paper,Final,,Scopus,2-s2.0-80052456148,
,88,35,Computer Engineering,Ziade H.; Ayoubi R.; Velazco R.; Idriss T.,"Ziade, Haissam (56064126100); Ayoubi, Rafic (6505834540); Velazco, Raoul (7003492172); Idriss, Tarek (49963488100)",56064126100; 6505834540; 7003492172; 49963488100,A new fault injection approach to study the impact of bitflips in the configuration of SRAM-based FPGAs,2011,International Arab Journal of Information Technology,8,2,,155,162,7,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052586526&partnerID=40&md5=4a646dc8adaf05f08d407a91bd72b60b,Article,Final,,Scopus,2-s2.0-80052586526,
R. Imad,89,1,Computer Engineering,Wahidi M.; Rizk A.; Imad R.,"Wahidi, Malek (58396810000); Rizk, Anthony (59881905900); Imad, Rodrigue (26767816900)",58396810000; 59881905900; 26767816900,Scale Is Not All You Need: Revisiting the Biomimetic Roots of Deep Learning to Overcome Fundamental Limitations,2025,IEEE Access,13,,,125537,125569,32,0,10.1109/ACCESS.2025.3589514,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011169993&doi=10.1109%2fACCESS.2025.3589514&partnerID=40&md5=36244698c07dd35a89d3ac64afbf2e25,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105011169993,
,90,2,Computer Engineering,Imad R.; Poulliat C.; Houcke S.,"Imad, Rodrigue (26767816900); Poulliat, Charly (6506189480); Houcke, Sebastien (35616673700)",26767816900; 6506189480; 35616673700,Frame synchronization techniques for non-binary LDPC codes over GF(q),2010,GLOBECOM - IEEE Global Telecommunications Conference,,,5683422,,,,1,10.1109/GLOCOM.2010.5683422,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79551623230&doi=10.1109%2fGLOCOM.2010.5683422&partnerID=40&md5=c57e883856c4d48b95526ef66c4c4e5a,Conference paper,Final,,Scopus,2-s2.0-79551623230,
,91,3,Computer Engineering,Imad R.; Houcke S.,"Imad, Rodrigue (26767816900); Houcke, Sebastien (35616673700)",26767816900; 35616673700,Carrier phase recovery of LDPC-coded systems based on the likelihood difference algorithm,2023,Eurasip Journal on Advances in Signal Processing,2023,1,16,,,,0,10.1186/s13634-023-00975-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147092122&doi=10.1186%2fs13634-023-00975-7&partnerID=40&md5=0db44f2ea15339ce915d4a1fe5057ce1,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85147092122,
,92,4,Computer Engineering,Wahidi M.; Imad R.; Rishmany J.,"Wahidi, Malek (58396810000); Imad, Rodrigue (26767816900); Rishmany, Jihad (56426992700)",58396810000; 26767816900; 56426992700,A Highly Efficient Computer Vision Approach for Tennis Ball Retrieval with Limited Computational Power,2023,Lecture Notes in Networks and Systems,700 LNNS,,,192,203,11,0,10.1007/978-3-031-33743-7_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163330282&doi=10.1007%2f978-3-031-33743-7_16&partnerID=40&md5=1b84f997338b55ace9fb87ef43f7c6d1,Conference paper,Final,,Scopus,2-s2.0-85163330282,
,93,5,Computer Engineering,Rishmany J.; Sabiini G.; Mansour A.; Imad R.,"Rishmany, Jihad (56426992700); Sabiini, Guitta (56624447700); Mansour, Ali (58304087100); Imad, Rodrigue (26767816900)",56426992700; 56624447700; 58304087100; 26767816900,Generating rectilinear motion using permanent magnets,2023,Journal of Engineering and Applied Science,70,1,57,,,,2,10.1186/s44147-023-00231-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161015356&doi=10.1186%2fs44147-023-00231-7&partnerID=40&md5=7cab6ce03869c7c856d265570659133d,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85161015356,
